CODIGO_MESA_2019,CODIGO_CIRCUITO_2017
0100301113X,01003000035
0100301114X,01003000035
0100301115X,01003000035
0100301116X,01003000035
0100301117X,01003000035
0100301118X,01003000035
0100301119X,01003000035
0100301120X,01003000035
0100301121X,01003000035
0100301122X,01003000035
0100301123X,01003000035
0100301124X,01003000035
0100301125X,01003000035
0100301126X,01003000035
0100301127X,01003000035
0100301128X,01003000035
0100301129X,01003000035
0100301130X,01003000035
0100301131X,01003000035
0100301132X,01003000035
0100301133X,01003000035
0100301134X,01003000035
0100301135X,01003000035
0100301136X,01003000035
0100301137X,01003000035
0100301138X,01003000035
0100301139X,01003000035
0100301140X,01003000035
0100301141X,01003000035
0100301142X,01003000035
0100301143X,01003000035
0100301144X,01003000036
0100301145X,01003000036
0100301146X,01003000036
0100301147X,01003000036
0100301148X,01003000036
0100301149X,01003000036
0100301150X,01003000036
0100301151X,01003000036
0100301152X,01003000036
0100301153X,01003000036
0100301154X,01003000036
0100301155X,01003000036
0100301156X,01003000036
0100301157X,01003000036
0100301158X,01003000036
0100301159X,01003000036
0100301160X,01003000036
0100301161X,01003000036
0100301162X,01003000036
0100301163X,01003000036
0100301164X,01003000036
0100301165X,01003000036
0100301166X,01003000036
0100301167X,01003000036
0100301168X,01003000036
0100301169X,01003000037
0100301170X,01003000037
0100301171X,01003000037
0100301172X,01003000037
0100301173X,01003000037
0100301174X,01003000037
0100301175X,01003000037
0100301176X,01003000037
0100301177X,01003000037
0100301178X,01003000037
0100301179X,01003000037
0100301180X,01003000037
0100301181X,01003000037
0100301182X,01003000037
0100301183X,01003000037
0100301184X,01003000037
0100301185X,01003000037
0100301186X,01003000037
0100301187X,01003000037
0100301188X,01003000037
0100301189X,01003000037
0100301190X,01003000037
0100301191X,01003000037
0100301192X,01003000037
0100301193X,01003000037
0100301194X,01003000037
0100301195X,01003000037
0100301196X,01003000037
0100301197X,01003000037
0100301198X,01003000037
0100301199X,01003000037
0100301200X,01003000037
0100301201X,01003000038
0100301202X,01003000038
0100301203X,01003000038
0100301204X,01003000038
0100301205X,01003000038
0100301206X,01003000038
0100301207X,01003000038
0100301208X,01003000038
0100301209X,01003000038
0100301210X,01003000038
0100301211X,01003000038
0100301212X,01003000038
0100301213X,01003000038
0100301214X,01003000038
0100301215X,01003000038
0100301216X,01003000038
0100301217X,01003000038
0100301218X,01003000038
0100301219X,01003000038
0100301220X,01003000038
0100301221X,01003000038
0100301222X,01003000038
0100301223X,01003000038
0100301224X,01003000038
0100301225X,01003000038
0100301226X,01003000038
0100301227X,01003000038
0100301228X,01003000038
0100301229X,01003000038
0100301230X,01003000038
0100301231X,01003000038
0100301232X,01003000038
0100301233X,01003000038
0100301234X,01003000038
