MUNI;label
141821659;JUSTINIANO POSSE
141821666;LABORDE
141821673;MONTE LEÑA
141821680;MONTE MAIZ
141821687;MORRISON
141821694;NOETINGER
141821701;ORDOÑEZ
141821708;PASCANAS
141821715;PUEBLO ITALIANO
141821722;SAN ANTONIO DE LITIN
141821729;SAN MARCOS SUD
141821736;VIAMONTE
141821743;WENCESLAO ESCALANTE
141823225;ALDEA SANTA MARIA
141823232;ANA ZUMARAN
141823239;COLONIA BREMEN
141823246;VILLA LOS PATOS
180070007;BELLA VISTA
180140014;BERON DE ASTRADA
180210000;ZONA EN LITIGIO
180210021;CORRIENTES
180210028;RIACHUELO
180280035;COLONIA SANTA ROSA
180280042;CONCEPCION
180280049;TABAY
180280056;TATACUA
180350063;CURUZU CUATIA
180350070;PERUGORRIA
180420077;EMPEDRADO
180490084;ESQUINA
180490091;PUEBLO LIBERTADOR
180560098;ALVEAR
180560105;ESTACION TORRENT
180630112;CAA CATI
180630119;ITA IBATE
180630126;LOMAS DE VALLEJOS
180630133;PALMAR GRANDE
180700137;CAROLINA
180700140;GOYA
180770147;ITATI
180770154;RAMADA PASO
180840161;COLONIA LIEBIG S
180840168;ITUZAINGO
180840175;SAN ANTONIO
180840182;SAN CARLOS
180840186;VILLA OLIVARI
180910189;CRUZ DE LOS MILAGROS
180910196;GOBERNADOR MARTINEZ
180910203;LAVALLE
180910210;SANTA LUCIA
180910217;YATAYTI CALLE
180980224;MBURUCUYA
181050231;FELIPE YOFRE
181050238;MARIANO I LOZA
181050245;MERCEDES
181120252;COLONIA LIBERTAD
181120259;JUAN PUJOL
181120266;MOCORETA
181120273;MONTE CASEROS
181190280;BONPLAND
181190287;PARADA PUCHETA
181190294;PASO DE LOS LIBRES
181190301;TAPEBICUA
181260308;SALADAS
181260315;SAN LORENZO
181330322;PASO DE LA PATRIA
181330329;SAN COSME
181330336;SANTA ANA
181400343;HERLITZKA
181400350;SAN LUIS DEL PALMAR
181470357;COLONIA CARLOS PELLEGRINI
181470364;GUAVIRAVI
181470371;LA CRUZ
181470378;YAPEYU
181540385;LORETO
181540392;SAN MIGUEL
181610399;9 DE JULIO
181610406;PEDRO R. FERNANDEZ
181610413;CHAVARRIA
181610417;COLONIA PANDO
181610420;SAN ROQUE
181680427;GARRUCHOS
181680434;GOBERNADOR VIRASORO
181680441;JOSE RAFAEL GOMEZ
181680448;SANTO TOME
181750455;SAUCE
300080000;ZONA RURAL
300080007;COLON
300080014;SAN JOSE
300080021;UBAJAY
300080028;VILLA ELISA
300089005;ARROYO BARU
300089007;COLONIA SAN ANSELMO Y ALEDAÑAS
300089010;HAMBIS
300089015;HOCKER
300089020;LA CLARITA
300089025;PUEBLO CAZES
300089030;PUEBLO LIEBIG S
300150000;ZONA RURAL
300150035;COLONIA AYUI
300150042;CONCORDIA
300150049;ESTANCIA GRANDE
300150056;LA CRIOLLA
300150063;LOS CHARRUAS
300150070;PUERTO YERUA
300159035;CLODOMIRO LEDESMA
300159040;COLONIA GENERAL ROCA
300159045;EL REDOMON
300159050;ESTACION YERUA
300159060;NUEVA ESCOCIA
300159065;PEDERNAL
300159070;SAN JUSTO
300210000;ZONA RURAL
300210077;ALDEA VALLE MARIA
300210084;DIAMANTE
300210091;GENERAL RAMIREZ
300210098;VILLA LIBERTADOR SAN MARTIN
300219075;ALDEA BRASILERA
300219080;ALDEA GRAPSCHENTAL
300219085;ALDEA PROTESTANTE
300219090;ALDEA SALTO
300219095;ALDEA SPATZENKUTTER
300219100;COLONIA ENSAYO
300219105;COSTA GRANDE
300219110;ESTACION CAMPS
300219115;EL CARMEN - ESTACION RACEDO
300219120;GENERAL ALVEAR
300219125;ISLETAS
300219130;LAS CUEVAS
300280000;ZONA RURAL
300280105;CHAJARI
300280112;FEDERACION
300280115;LOS CONQUISTADORES
300280119;SAN JAIME DE LA FRONTERA
300280126;SANTA ANA
300280133;VILLA DEL ROSARIO
300289135;COLONIA ALEMANA
300289140;COLONIA LA ARGENTINA
300289143;COLONIA SANTA MARIA Y LAS MARGARITAS
300289150;GUALEGUAYCITO
300289155;LA FLORIDA
300289160;LA FRATERNIDAD Y SANTA JUANA
300289165;PARAJE GUAYAQUIL
300289175;SAN PEDRO
300289180;SAN RAMON
300289185;SAN ROQUE
300350000;ZONA RURAL
300350140;CONSCRIPTO BERNARDI
300350147;FEDERAL
300350154;SAUCE DE LUNA
300359190;ARROYO DEL MEDIO
300359192;ARROYO LAS TUNAS
300359193;BANDERAS
300359195;DISTRITO DIEGO LOPEZ
300359200;EL CIMARRON
300359205;EL GRAMIYAL
300359215;NUEVA VIZCAYA
300359220;PASO DUARTE
300359225;SANTA LUCIA
300420000;ZONA RURAL
300420161;SAN JOSE DE FELICIANO
300429230;DISTRITO CHAÑAR
300429235;LA ESMERALDA
300429240;LA HIERRA
300429245;LA VERBENA
300429250;LAGUNA BENITEZ
300429260;MULAS GRANDES
300429265;SAN VICTOR
300490000;ZONA RURAL
300490168;GENERAL GALARZA
300490175;GUALEGUAY
300499270;ALDEA ASUNCION
300499280;DISTRITO PRIMERO
300499290;DISTRITO SEXTO COSTA DE NOGOYA
300499295;ESTACION LAZO
300499302;ISLAS LAS LECHIGUANAS
300560000;ZONA RURAL
300560182;ALDEA SAN ANTONIO
300560184;ENRIQUE CARBO
300560185;GILBERT
300560189;GUALEGUAYCHU
300560196;LARROQUE
300560199;PUEBLO GENERAL BELGRANO
300560203;URDINARRAIN
300569320;ALDEA SAN JUAN
300569330;COSTA URUGUAY NORTE
300569340;CUCHILLA REDONDA
300569345;DISTRITO TALITAS
300569355;ESTACION ESCRIÑA
300569360;FAUSTINO M.  PARERA
300569365;GENERAL ALMADA
300569370;IRAZUSTA
300569375;LAS MERCEDES
300569380;PASTOR BRITOS
300569395;RINCON DEL CINTO
300569400;RINCON DEL GATO
300630000;ZONA RURAL
300630210;CEIBAS
300630217;IBICUY
300630224;VILLA PARANACITO
300639405;MEDANOS
300700000;ZONA RURAL
300700231;ALCARAZ
300700238;BOVRIL
300700245;LA PAZ
300700252;PIEDRAS BLANCAS
300700259;SANTA ELENA
300709415;ALCARAZ NORTE
300709420;ALCARAZ SUR
300709425;COLONIA AVIGDOR
300709430;COLONIA CARRASCO
300709440;COLONIA OFICIAL Nº 3 Y 14
300709445;COLONIA VIRARO
300709450;EL QUEBRACHO
300709455;EL SOLAR
300709460;ESTAQUITAS
300709465;LA PROVIDENCIA
300709475;OMBU
300709480;PICADA BERON
300709485;PUERTO ALGARROBO
300709490;SAN GUSTAVO
300709495;SAN RAMIREZ
